Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.05, Error, kappa, 0.0006219145482213, theta_a, 0.0009969460906070, theta_b, 0.2833211425535175, sigma, 0.0149930389551744
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.1, Error, kappa, 0.0007972303592137, theta_a, 0.0009975007326737, theta_b, 0.2071835996138156, sigma, 0.0099926482930505
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.5, Error, kappa, 0.0033824852878087, theta_a, 0.0009986707880400, theta_b, 0.0359407862197474, sigma, 0.0303708608639613
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 1.0, Error, kappa, 0.0105116542298726, theta_a, 0.0009994211651542, theta_b, 0.1061521555576352, sigma, 0.0795410783132864
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 2.0, Error, kappa, 0.0009998999644924, theta_a, 0.0009908446945857, theta_b, 0.1718472735241403, sigma, 0.1789804781707162
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.005, Error, kappa, 0.0005748554154545, theta_a, 0.0099970195807810, theta_b, 0.2350742367604194, sigma, 0.0194726535337546
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.01, Error, kappa, 0.0005433322089823, theta_a, 0.0099969815608410, theta_b, 0.2293856165281836, sigma, 0.0189956738244228
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.02, Error, kappa, 0.0005365336182147, theta_a, 0.0099970012759484, theta_b, 0.2405723337722445, sigma, 0.0179947795528347
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.05, Error, kappa, 0.0009998999784984, theta_a, 0.0099999391770366, theta_b, 0.2609267481971630, sigma, 0.0149357792480519
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.1, Error, kappa, 0.0011115887915880, theta_a, 0.0099979478250430, theta_b, 0.2195631084989402, sigma, 0.0101666964470762
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.5, Error, kappa, 0.0039774817574643, theta_a, 0.0099985860907554, theta_b, 0.2853789126381769, sigma, 0.0299194299253617
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 1.0, Error, kappa, 0.0049228394920869, theta_a, 0.0099977454947731, theta_b, 0.5880205454356955, sigma, 0.0804344131119108
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 2.0, Error, kappa, 0.0020102359332295, theta_a, 0.0099972622831111, theta_b, 0.2000000000000000, sigma, 0.1806414596562761
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.005, Error, kappa, 0.0004305321755670, theta_a, 0.0000072474426275, theta_b, 0.6516802027968076, sigma, 0.0493733403253213
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.01, Error, kappa, 0.0004144178997270, theta_a, 0.0000072902149453, theta_b, 0.6437507143368885, sigma, 0.0489269039279840
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.02, Error, kappa, 0.0003783446982274, theta_a, 0.0000074399970722, theta_b, 0.6313814252983992, sigma, 0.0479796465861437
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.05, Error, kappa, 0.0004234235047465, theta_a, 0.0000073690434794, theta_b, 0.6534657759125735, sigma, 0.0449798854496025
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.1, Error, kappa, 0.0004197841758988, theta_a, 0.0000074648090906, theta_b, 0.6439254281240778, sigma, 0.0399797738106682
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.5, Error, kappa, 0.0012816117235725, theta_a, 0.0000043041885086, theta_b, 0.8495947640907717, sigma, 0.0002451918937024
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 1.0, Error, kappa, 0.0097630746923960, theta_a, 0.0000005024546098, theta_b, 0.1517052357009461, sigma, 0.0505419042439363
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 2.0, Error, kappa, 0.0021461681229374, theta_a, 0.0000152677048600, theta_b, 0.1999999877697904, sigma, 0.1491538983890448
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.005, Error, kappa, 0.0004236159701879, theta_a, 0.0000067574925375, theta_b, 0.6480131960977921, sigma, 0.0493755475961819
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.01, Error, kappa, 0.0003960531895059, theta_a, 0.0000069127910769, theta_b, 0.6429887584101753, sigma, 0.0489317415692823
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.02, Error, kappa, 0.0004463543057214, theta_a, 0.0000065933527456, theta_b, 0.6464728527578797, sigma, 0.0479829480951467
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.05, Error, kappa, 0.0005200821610198, theta_a, 0.0000062760305806, theta_b, 0.6599872956758478, sigma, 0.0449570872007263
