Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 1.0, Error, kappa, 0.0009996608183681, theta_a, 0.0378879722183059, theta_b, 0.1000000000000000, sigma, 0.0486863033447941
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 2.0, Error, kappa, 0.0020696116641243, theta_a, 0.0000100000000000, theta_b, 0.2000000000000000, sigma, 0.1516800622341441
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.005, Error, kappa, 0.0009996469795268, theta_a, 0.0319786011407183, theta_b, 0.0005000000000000, sigma, 0.0491636461578411
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.01, Error, kappa, 0.0009996471629239, theta_a, 0.0319689925752016, theta_b, 0.0010000000000000, sigma, 0.0487982648622212
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.02, Error, kappa, 0.0009996462375019, theta_a, 0.0319494697774130, theta_b, 0.0020000000000000, sigma, 0.0478702520242435
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.05, Error, kappa, 0.0009996548805382, theta_a, 0.0302171077242728, theta_b, 0.0050000000000000, sigma, 0.0449341404585690
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.1, Error, kappa, 0.0009996573725903, theta_a, 0.0319055999051774, theta_b, 0.0100000000000000, sigma, 0.0399458325987425
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.5, Error, kappa, 0.0009998999938363, theta_a, 0.0000479302170246, theta_b, 0.0500000000000000, sigma, 0.0002147893226923
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 1.0, Error, kappa, 0.0009995526446656, theta_a, 0.0542351016636866, theta_b, 0.1000000000000000, sigma, 0.0496137605298167
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 2.0, Error, kappa, 0.0001355232915531, theta_a, 0.0000439309254916, theta_b, 0.2000000000000000, sigma, 0.1499504220372850
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.005, Error, kappa, 0.0009996472987239, theta_a, 0.0318658474679708, theta_b, 0.0005000000000000, sigma, 0.0491674602522686
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.01, Error, kappa, 0.0009996469873005, theta_a, 0.0320019809571560, theta_b, 0.0010000000000000, sigma, 0.0487946149232531
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.02, Error, kappa, 0.0009998999999996, theta_a, 0.0000992659186718, theta_b, 0.0020000000000000, sigma, 0.0470123092072432
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.05, Error, kappa, 0.0009996457807442, theta_a, 0.0325871196131432, theta_b, 0.0050000000000000, sigma, 0.0449411141475007
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.1, Error, kappa, 0.0009996228436144, theta_a, 0.0319993862948759, theta_b, 0.0100000000000000, sigma, 0.0399089856015364
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.5, Error, kappa, 0.0009997097670617, theta_a, 0.0310797590286562, theta_b, 0.0500000000000000, sigma, 0.0005744555453711
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 1.0, Error, kappa, 0.0009998998387487, theta_a, 0.0000963353937603, theta_b, 0.1000000000000000, sigma, 0.0506777257423725
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 2.0, Error, kappa, 0.0009998999811922, theta_a, 0.0000833919807223, theta_b, 0.2000000000000000, sigma, 0.1497026481229242
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.005, Error, kappa, 0.0009996481751792, theta_a, 0.0309619462665312, theta_b, 0.0005000000000000, sigma, 0.0491594744210999
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.01, Error, kappa, 0.0009996459737361, theta_a, 0.0310284770372353, theta_b, 0.0010000000000000, sigma, 0.0487851013345483
