,kappa,theta_a,theta_b,sigma,error_kappa,error_theta_a,error_theta_b,error_sigma
175,0.02,0.001,0.01,2.0,219.50726,99.57824,100.00000,0.96139
176,0.02,0.001,0.02,2.0,140.40385,98.89469,27326.83400,0.16272
177,0.02,0.001,0.05,2.0,99.96653,43175.72388,100.00000,0.05858
178,0.02,0.001,0.1,2.0,654.48149,97.84677,62.46931,0.50287
179,0.02,0.001,0.5,2.0,99.99496,90.95752,100.00000,0.04337
180,0.02,0.01,0.005,2.0,319.31655,99.69705,185005.25934,0.71098
181,0.02,0.01,0.01,2.0,65.54608,99.00096,100.00000,0.33371
182,0.02,0.01,0.02,2.0,84.00214,100.00000,100.00000,0.15925
183,0.02,0.01,0.05,2.0,32.56185,100.00000,100.00000,0.91305
184,0.02,0.01,0.1,2.0,457.87043,99.98158,100.00000,0.24147
185,0.02,0.01,0.5,2.0,140.89491,100.00000,100.00000,0.05364
186,0.02,0.1,0.005,2.0,175.59542,99.97471,52891.96605,1.40938
187,0.02,0.1,0.01,2.0,299.45529,99.99578,78634.14900,0.97815
188,0.02,0.1,0.02,2.0,96.94890,99.95510,44913.41190,0.74838
189,0.02,0.1,0.05,2.0,340.96029,99.96482,100.00000,0.28079
190,0.02,0.1,0.1,2.0,239.30608,100.00000,100.00000,1.66118
191,0.02,0.1,0.5,2.0,99.99485,99.91426,100.00000,0.24267
192,0.05,1e-06,0.005,0.5,212.26890,65.57272,100.00000,0.23792
193,0.05,1e-06,0.01,0.5,25.94964,100.00000,100.00000,0.10279
194,0.05,1e-06,0.02,0.5,38.86036,73.75304,100.00000,1.14691
195,0.05,1e-06,0.05,0.5,186.93446,54.25850,1794.76109,0.18344
196,0.05,1e-06,0.1,0.5,62.64603,99.99998,2128.63627,1.07695
197,0.05,1e-06,0.5,0.5,222.33391,122.60848,100.00000,0.83769
198,0.05,1e-05,0.005,0.5,55.98843,82.02844,100.00000,0.56741
199,0.05,1e-05,0.01,0.5,51.93422,99.99996,2669.98317,0.10632
200,0.05,1e-05,0.02,0.5,162.13994,83.99617,100.00000,0.63487
201,0.05,1e-05,0.05,0.5,17.49357,44.93678,100.00000,0.95269
202,0.05,1e-05,0.1,0.5,18.67069,85.35916,100.00000,1.17923
203,0.05,1e-05,0.5,0.5,224.42751,100.00000,100.00000,0.42067
204,0.05,5e-05,0.005,0.5,35.51423,95.19413,100.00000,0.42981
205,0.05,5e-05,0.01,0.5,99.99797,59.29461,100.00000,0.28024
206,0.05,5e-05,0.02,0.5,191.64180,93.33546,910.62787,0.61473
207,0.05,5e-05,0.05,0.5,170.23421,99.36950,1370.91682,0.02163
208,0.05,5e-05,0.1,0.5,351.74628,100.00000,100.00000,0.45273
209,0.05,5e-05,0.5,0.5,8.78520,91.68867,100.00000,0.86551
210,0.05,0.0001,0.005,0.5,55.00403,100.00000,100.00000,0.82636
211,0.05,0.0001,0.01,0.5,63.62116,100.00000,8424.48625,0.59298
212,0.05,0.0001,0.02,0.5,40.20745,98.52928,6133.03430,1.17929
213,0.05,0.0001,0.05,0.5,23.27519,100.00000,3897.22952,0.08264
214,0.05,0.0001,0.1,0.5,233.78755,100.00000,390.22395,0.49873
215,0.05,0.0001,0.5,0.5,20.23568,100.00000,71.63358,1.09612
